customer_id,platform,age,gender,city,tenure_months,order_frequency,avg_order_value,total_spend,discount_usage_rate,delivery_issues_rate,support_interactions,app_usage_frequency,payment_method,subscription_status,days_since_last_order,review_score,referrals,churned
CUST000001,Zomato,25,Male,Ahmedabad,21,13.068947388961071,457.5167520673123,125564.50960905707,0.030639451221898262,0.03786577859975714,0.014652575079195098,0.9191325176001793,Credit Card,0,4,4.7220559676404905,1,0
CUST000002,Blinkit,18,Male,Kolkata,18,8.951907235201059,220.92462427064862,35598.54136396491,0.28560296151012954,0.11053149826640526,0.11889645206302739,4.048800198947021,UPI,0,10,4.070572170842299,0,0
CUST000003,Zepto,26,Female,Pune,25,7.5390269320055765,277.86295248756187,52370.40705525788,0.23497681214703078,0.05211561084702206,0.3865985588153664,1.8673330992998587,Debit Card,0,29,2.2564490171975464,1,0
CUST000004,Zomato,37,Male,Delhi,19,2.236408626610582,408.13635591052724,17342.43367664249,0.08158801039980888,0.1130323094505977,0.4852004049758143,2.706778925504551,Debit Card,0,9,4.53000357329807,0,0
CUST000005,Swiggy,34,Male,Mumbai,24,1.9616326378472833,345.60911530619126,16270.994892531595,0.29712693116390454,0.12144890914729525,0.5995642757412615,1.9356832121053444,UPI,0,2,5.0,1,0
CUST000006,Swiggy,33,Male,Mumbai,12,6.791237896512272,508.22299860698104,41417.559456226,0.39737219859208406,0.2599923557317572,0.4723107303543041,1.0928624143753554,Credit Card,0,3,4.934709222626326,1,0
CUST000007,Swiggy,27,Female,Chennai,19,4.670436154010347,322.94941219685796,28657.97760217132,0.19991287525540263,0.04940769735049498,0.0014908665003378159,2.576623695654778,Debit Card,0,27,3.5435504415939354,1,0
CUST000008,Blinkit,19,Male,Ahmedabad,15,2.4128624861581174,283.3659198722102,10255.844968730145,0.3284839179335019,0.22125948491930006,0.18065084518580948,4.6598134283797865,UPI,0,1,3.383955154219314,0,0
CUST000009,Zomato,34,Female,Mumbai,36,8.358624238821832,242.9434690209729,73104.23407759794,0.20328405301809918,0.0923552144456549,0.00039671929197583497,1.026411467219067,UPI,1,2,4.525996497983658,0,0
CUST000010,Zepto,23,Male,Hyderabad,28,7.31936606213871,205.70002861590334,42156.62663610172,0.5483912855620426,0.5567480688742081,0.0023478953884688287,0.19028889833216397,UPI,0,1,4.619315540689556,1,1
CUST000011,Swiggy,47,Female,Chennai,20,8.375719163753777,297.5894006557032,49850.50492003947,0.45189619171804357,0.4516281150618584,0.010204616536601827,1.9011254826382118,UPI,1,40,4.0291836598087345,2,0
CUST000012,Blinkit,34,Female,Pune,27,8.449157818004895,253.63259265660096,57860.508684925015,0.2202907921435189,0.140348781386432,0.14533060557936617,2.05003456932354,Credit Card,0,14,2.7126706877531133,0,0
CUST000013,Zepto,25,Male,Hyderabad,15,10.125995920122108,290.59225381806436,44138.03964871212,0.16403841267161143,0.141538023116291,0.23551996237317416,1.1465055946442335,UPI,0,4,3.9141283912174414,0,0
CUST000014,Swiggy,25,Female,Ahmedabad,16,4.24200582377973,463.2647445550448,31442.74790966926,0.37199268197114904,0.08037286213758614,0.016341954953167828,2.2502996765146572,Cash on Delivery,0,54,4.101086176311223,2,0
CUST000015,Swiggy,29,Male,Delhi,9,2.5915139028729515,322.8564351934645,7530.18246392277,0.3758342832030454,0.030358588885165943,0.024499301938906124,1.8910704721485454,Debit Card,0,15,3.2993168380499167,0,0
CUST000016,Swiggy,28,Male,Delhi,23,12.522276983619678,160.99011751929365,46367.14539364779,0.15436013053206604,0.25674696290597554,0.9332523867144155,2.297380189620307,UPI,0,2,5.0,1,0
CUST000017,Swiggy,38,Female,Bangalore,9,1.958507208638835,200.6076236359912,3536.0232929909557,0.18096010247422303,0.21766019080814505,0.0005021138955201782,3.031437292768366,Wallet,1,32,3.88035205927398,3,1
CUST000018,Zomato,31,Male,Delhi,16,2.1322337704286376,278.35527773186465,9496.29637371079,0.3392546623166336,0.44501413383661,0.2225187592878357,2.8574686815221417,UPI,0,14,3.763428061147953,0,0
CUST000019,Zomato,24,Male,Mumbai,12,3.6426563825660505,251.17210510796411,10979.204061528917,0.20994687720287036,0.042751786144113985,0.013081788223413599,0.6054122677540751,UPI,1,9,5.0,1,0
CUST000020,Swiggy,45,Male,Chennai,26,11.595012855376027,441.44027081217064,133081.14598864262,0.25750296475344275,0.0680506287017888,0.4204724042160095,0.7555483258811556,UPI,0,13,3.5928575243130263,0,1
CUST000021,Zomato,30,Male,Kolkata,34,3.932311251080593,282.6726258827899,37792.929402467256,0.33903486819582157,0.26630950588254193,0.08355634747679351,1.7367643253232021,Credit Card,0,13,3.2954664328100503,2,0
CUST000022,Swiggy,36,Female,Chennai,24,2.148248485322295,238.34987508301188,12288.834194972125,0.3880380220758601,0.1607251495121109,0.2875129539582198,3.5350295262781626,UPI,0,34,3.6427393656015297,0,0
CUST000023,Swiggy,25,Male,Delhi,23,2.9977585134022506,409.4555886705759,28231.326466339026,0.2549678662783069,0.2880333901409039,0.0221275335335294,0.9779486741374346,Debit Card,0,15,4.513440601039942,0,0
CUST000024,Zomato,32,Female,Bangalore,20,2.9320034550454714,288.89349317834103,16940.734402781025,0.5950799401171906,0.02018072652108751,0.22842076606176934,0.7745867900696929,UPI,1,12,3.844708646803436,0,0
CUST000025,Zomato,32,Female,Delhi,20,6.052623746688739,116.94837142272148,14156.889800194775,0.3882832110758319,0.21290233325947874,0.4229911031798892,3.021268780033465,UPI,1,25,2.440494893306298,0,1
CUST000026,Zepto,18,Male,Mumbai,14,3.391281162385259,263.60967225269275,12515.643220263526,0.2297609614483579,0.07920777963517887,0.024660218801501717,0.9866041741783405,Debit Card,1,5,4.663232666893977,2,0
CUST000027,Swiggy,46,Male,Hyderabad,11,0.5016250218723305,339.79442540245304,1874.9432468206162,0.579812899288392,0.062450971076395835,0.6536639346629392,4.847445709317743,Debit Card,1,12,5.0,0,0
CUST000028,Zomato,40,Female,Mumbai,20,21.99032991664889,241.2577535679369,106106.75191817016,0.4296518693537881,0.3741694550618957,0.0008288991420819446,0.9205088231063832,Debit Card,0,2,3.6207835853782058,1,0
CUST000029,Zomato,26,Male,Mumbai,21,1.182454333471559,347.93739678008484,8639.821734587917,0.10296279240472576,0.18716771441039093,1.4141665930320341e-05,3.389462459974287,Wallet,1,7,4.750419385392218,1,0
CUST000030,Swiggy,21,Male,Kolkata,21,1.790474109834769,391.49787414642645,14720.302962005075,0.5267427612786221,0.1463202275047338,0.002695034376152976,0.6983494104956935,Debit Card,0,16,5.0,3,0
CUST000031,Zomato,32,Male,Mumbai,22,8.190929061700537,356.66142630579947,64270.54572214621,0.07815836411653758,0.20067067024236404,0.32086252202740856,3.056605534516947,Cash on Delivery,0,4,2.9658569486770707,1,0
CUST000032,Swiggy,30,Female,Ahmedabad,24,2.4575460208863764,299.7392822566743,17678.953929917483,0.4080676337538002,0.023696325148435466,0.046172251258569816,4.1480381353351445,Credit Card,0,7,3.1840599789150463,1,0
